title,company,location,summary,salary
"Business Analyst (Sydney, Canberra, Adelaide, Brisbane)",Tata Consultancy Services (TCS),Sydney NSW,"Knowledge of business intelligence/analytics software for reporting and analysis leveraging SAS, Tableau, SPSS, SQL or R.
TCS is an equal opportunity employer.", 120000
"Operations Advisory (Telecommunications, Media & Technology focus)",KPMG,Sydney NSW,"Strong of emotional intelligence and personal maturity.
A high level of confidence to drive business proposals in a sales environment.",107886.18
"Business Analyst (Sydney, Canberra, Adelaide, Brisbane)",Tata Consultancy Services (TCS),Sydney NSW,"Knowledge of business intelligence/analytics software for reporting and analysis leveraging SAS, Tableau, SPSS, SQL or R.
TCS is an equal opportunity employer.", 120000
"Operations Advisory (Telecommunications, Media & Technology focus)",KPMG,Sydney NSW,"Strong of emotional intelligence and personal maturity.
A high level of confidence to drive business proposals in a sales environment.",107886.18
"Expressions of Interest- Strategy, Growth & Digital",KPMG,Sydney NSW,"Data Analyst: Analysing and business consulting with data – using relational databases (SQL), data workbench & visualisation tools for project delivery,…",107886.18
Graduate - Summer 2020/21 - Business Consultant,FDM Group,Australia,"You will develop a deep understanding of the business in order to ensure you are aligned with the business’ strategic goals and will enjoy dealing with people,…",107886.18
Group Business Intelligence Manager,Super Retail Group,Strathpine QLD,You will be a seasoned business intelligence professional that may have experience in leading small teams in the areas of data or business intelligence.,107886.18
Business Intelligence Analyst Member Experience,Heritage Bank,Toowoomba QLD,"Work closely with business data experts to establish appropriate analytical dashboards.
Consult and collaborate with broader stakeholders in other business…",107886.18
Risk Advisory - Forensic,Deloitte,Canberra ACT,"As a part of the Risk Advisory family, our 100+ team is comprised of practitioners from all sorts of fields ranging from law enforcement and accounting through…",107886.18
AML Complaints Officer,Westpac Group,Parramatta NSW,"Analyse key trends in complaints to successfully identify the required business management decisions to achieve optimal business outcomes.
What’s in it for me?",107886.18
"Alpha Portfolio Services, Officer",State Street,Sydney NSW,"The Alpha Portfolio Services team is a dedicated global business team working with Clients, SSC IT, client service, and the business operations teams to ensure…",107886.18
Business/IS Analyst,IDEAS,Albury-Wodonga VIC,"Initially, you will be working with the executive team to review and examine potential process and system improvements and you will be integral to the…",107886.18
Sydney 2021 Graduate Program (July campaign),EY,Sydney NSW,"Here at EY, you’ll focus your intelligence and imagination on the most crucial, complex issues facing business, government, and society today.",107886.18
Risk Advisory - Cyber Risk,Deloitte,Canberra ACT,If you’re fascinated by the role that technology plays in business and love the idea of helping clients manage their current and emerging cyber risks – this is…,107886.18
Fair Work Inspector,Fair Work Ombudsman,Australia,"Tertiary qualifications in business/law/IR, economics, or social sciences (desirable but not essential).
APS Level 4 to APS Level 5 opportunity.",107886.18
Business Intelligence Manager,End Street Sleeping Collaboration,Sydney Central Business District NSW,"Help to end rough sleeping in NSW.
Based in CBD with flexible working arrangements.
Full time or part time opportunity.
Technical skills required for this role:",107886.18
"Analyst, Retail Investments",Colliers International,Sydney NSW,"Actively pursue new appointments to act for organisations, especially focusing on fostering existing and new relationships with businesses likely to result in…",107886.18
Business Intelligence Analyst,Macquarie Group,Australia,"Three or more years hands on experience in data analysis, business intelligence, management reporting or similar roles.
To be successful in this role, you will:",107886.18
Systems Analyst,Artificial Intelligence Australia Pty Ltd,Australia,"You must have a high level of technical expertise and clear insights into current business practices.
Transmit the business and functional knowledge to the…", 95000
Skin Program - Project Coordinator (Documentation Analyst),GenesisCare,Australia,"Be brave to drive innovation to achieve the Skin program needs and bring along the base business at the same time.
What’s in it for you:",107886.18
Sydney Vacationer Program 2020-2021 (July campaign),EY,Sydney NSW,"Here at EY, you’ll focus your intelligence and imagination on the most crucial, complex issues facing business, government, and society today.",107886.18
"Business Analyst (Sydney, Canberra, Adelaide, Brisbane)",Tata Consultancy Services (TCS),Sydney NSW,"Knowledge of business intelligence/analytics software for reporting and analysis leveraging SAS, Tableau, SPSS, SQL or R.
TCS is an equal opportunity employer.", 120000
"Operations Advisory (Telecommunications, Media & Technology focus)",KPMG,Sydney NSW,"Strong of emotional intelligence and personal maturity.
A high level of confidence to drive business proposals in a sales environment.",107886.18
"Expressions of Interest- Strategy, Growth & Digital",KPMG,Sydney NSW,"Data Analyst: Analysing and business consulting with data – using relational databases (SQL), data workbench & visualisation tools for project delivery,…",107886.18
Graduate - Summer 2020/21 - Business Consultant,FDM Group,Australia,"You will develop a deep understanding of the business in order to ensure you are aligned with the business’ strategic goals and will enjoy dealing with people,…",107886.18
Group Business Intelligence Manager,Super Retail Group,Strathpine QLD,You will be a seasoned business intelligence professional that may have experience in leading small teams in the areas of data or business intelligence.,107886.18
Business Intelligence Analyst Member Experience,Heritage Bank,Toowoomba QLD,"Work closely with business data experts to establish appropriate analytical dashboards.
Consult and collaborate with broader stakeholders in other business…",107886.18
Risk Advisory - Forensic,Deloitte,Canberra ACT,"As a part of the Risk Advisory family, our 100+ team is comprised of practitioners from all sorts of fields ranging from law enforcement and accounting through…",107886.18
AML Complaints Officer,Westpac Group,Parramatta NSW,"Analyse key trends in complaints to successfully identify the required business management decisions to achieve optimal business outcomes.
What’s in it for me?",107886.18
"Alpha Portfolio Services, Officer",State Street,Sydney NSW,"The Alpha Portfolio Services team is a dedicated global business team working with Clients, SSC IT, client service, and the business operations teams to ensure…",107886.18
Operations Centre Manager,Rio Tinto,Australia,"Successfully used analytical and business intelligence methodology to improve the business.
Energy and self motivation to make a difference and ensure the…",107886.18
Imaginative Care Board Director (Non-executive/Volunteer),Imaginative Human Services Limited,Australia,"Active contribution - a director needs to be an active contributor with genuine interest in the company and its business.
Be part of our growing team!.",107886.18
Intelligence Analyst,Sibylline Americas Inc.,Australia,"Production of insightful and actionable intelligence products.
Strong, demonstrable interest in security and intelligence.
Excellent written and spoken English.",107886.18
"Analyst, Retail Investments",Colliers International,Sydney NSW,"Actively pursue new appointments to act for organisations, especially focusing on fostering existing and new relationships with businesses likely to result in…",107886.18
Skin Program - Project Coordinator (Documentation Analyst),GenesisCare,Sydney NSW,"Be brave to drive innovation to achieve the Skin program needs and bring along the base business at the same time.
What’s in it for you:",107886.18
Contract Officer,Thales Group,Rydalmere NSW,"Sound business, commercial and regulatory knowledge and experience.
We design the critical security solutions of tomorrow by combining the curiosity to explore,…",107886.18
Business Intelligence Analyst,One Model,Brisbane QLD,"Ensuring solutions meet business needs and requirements.
Prioritizing initiatives based on business needs and requirements.",107886.18
BI Reporting Analyst,Peregrine Corporation,South Australia,"A new opportunity is available to play a part in lifting our reporting and data visualization capabilities to the next level, through the design and…",107886.18
"Principal Consultant (Remote, AUS)",CrowdStrike,Australia,"Engage in some degree of sales and business development opportunities.
Are you ready to “do the work” while also supporting business line development activities…",107886.18
Data Analyst - Customer Growth,Flexigroup,Sydney NSW,"Hands on experience within financial services delivering business intelligence.
Experience working with business and development teams to design, document and…",107886.18
Planning & Research Officer Grade 5/6,NSW State Emergency Service,Sydney NSW,"Have the ability to build and maintain positive relationships with key stakeholders, to facilitate project scoping, planning and review workshops; and to ensure…", 91641
"Online ESL English Language Teacher, Remote Working",Infinitum Education,Sydney NSW,"In order to achieve our vision, we have partnered with major Venture Capital funds and established strong business partnerships around the world.",107886.18
Data & Visualisation Analyst,HSBC,Sydney NSW,"Relevant commercial experience in building and maintaining SAS datamarts to support business intelligence.
Delivery of high quality reporting, dashboards and ad…",107886.18
"Platform Owner, DT Platform Mgmt",Optus,Macquarie Park NSW,"Due to the fast paced nature of our business, vacancy close dates may change, so make sure you apply today!
Working with stakeholders and agile teams to collect…",107886.18
Business Intelligence Developer,Safe Places for Children,Brisbane QLD,"Recent and relevant commercial experience engaging with business users.
Leave approvals may depend on business needs at the time.
Strong M and DAX skills.", 90000
"Account Specialist, Hunter New England, NSW",Cardinal Health,Australia,"Provide information on non-contracted opportunities, competitor activities and market intelligence.
Seek new business by planning meetings with key personnel…",107886.18
SOC Analyst,BAE Systems Applied Intelligence,Melbourne VIC,"As well as our traditional deep expertise in communications intelligence for governments and telecommunications companies, we help our customers collect, store,…",107886.18
Solution Architect - 18 months contract,Reserve Bank of Australia,Sydney NSW,"Experience designing data models for business intelligence solutions.
Advanced knowledge of solution architecture & design for business intelligence solutions.",107886.18
"Analyst, Retail Investments",Colliers International,Sydney NSW,"Actively pursue new appointments to act for organisations, especially focusing on fostering existing and new relationships with businesses likely to result in…",107886.18
Skin Program - Project Coordinator (Documentation Analyst),GenesisCare,Sydney NSW,"Be brave to drive innovation to achieve the Skin program needs and bring along the base business at the same time.
What’s in it for you:",107886.18
Contract Officer,Thales Group,Rydalmere NSW,"Sound business, commercial and regulatory knowledge and experience.
We design the critical security solutions of tomorrow by combining the curiosity to explore,…",107886.18
Business Intelligence Analyst,One Model,Brisbane QLD,"Ensuring solutions meet business needs and requirements.
Prioritizing initiatives based on business needs and requirements.",107886.18
BI Reporting Analyst,Peregrine Corporation,South Australia,"A new opportunity is available to play a part in lifting our reporting and data visualization capabilities to the next level, through the design and…",107886.18
"Principal Consultant (Remote, AUS)",CrowdStrike,Australia,"Engage in some degree of sales and business development opportunities.
Are you ready to “do the work” while also supporting business line development activities…",107886.18
Data Analyst - Customer Growth,Flexigroup,Sydney NSW,"Hands on experience within financial services delivering business intelligence.
Experience working with business and development teams to design, document and…",107886.18
Planning & Research Officer Grade 5/6,NSW State Emergency Service,Sydney NSW,"Have the ability to build and maintain positive relationships with key stakeholders, to facilitate project scoping, planning and review workshops; and to ensure…", 91641
"Online ESL English Language Teacher, Remote Working",Infinitum Education,Sydney NSW,"In order to achieve our vision, we have partnered with major Venture Capital funds and established strong business partnerships around the world.",107886.18
Data & Visualisation Analyst,HSBC,Sydney NSW,"Relevant commercial experience in building and maintaining SAS datamarts to support business intelligence.
Delivery of high quality reporting, dashboards and ad…",107886.18
"Platform Owner, DT Platform Mgmt",Optus,Macquarie Park NSW,"Due to the fast paced nature of our business, vacancy close dates may change, so make sure you apply today!
Working with stakeholders and agile teams to collect…",107886.18
Business Intelligence Developer,Safe Places for Children,Brisbane QLD,"Recent and relevant commercial experience engaging with business users.
Leave approvals may depend on business needs at the time.
Strong M and DAX skills.", 90000
"Account Specialist, Hunter New England, NSW",Cardinal Health,Australia,"Provide information on non-contracted opportunities, competitor activities and market intelligence.
Seek new business by planning meetings with key personnel…",107886.18
SOC Analyst,BAE Systems Applied Intelligence,Melbourne VIC,"As well as our traditional deep expertise in communications intelligence for governments and telecommunications companies, we help our customers collect, store,…",107886.18
Solution Architect - 18 months contract,Reserve Bank of Australia,Sydney NSW,"Experience designing data models for business intelligence solutions.
Advanced knowledge of solution architecture & design for business intelligence solutions.",107886.18
"Account Specialist, Hunter New England, NSW",Cardinal Health,Australia,"Provide information on non-contracted opportunities, competitor activities and market intelligence.
Seek new business by planning meetings with key personnel…",107886.18
SOC Analyst,BAE Systems Applied Intelligence,Melbourne VIC,"As well as our traditional deep expertise in communications intelligence for governments and telecommunications companies, we help our customers collect, store,…",107886.18
Solution Architect - 18 months contract,Reserve Bank of Australia,Sydney NSW,"Experience designing data models for business intelligence solutions.
Advanced knowledge of solution architecture & design for business intelligence solutions.",107886.18
Data Analyst,PKF Australia,Sydney NSW,"To work with like-minded people that are passionate about data analytics and business intelligence.
The team supports our clients with revolutionary initiatives…",107886.18
Government Engineering Lead (PV Cleared),Microsoft,Australia,Demonstrated history of working in the defense and/or intelligence space in Australia at the business decision maker level.,107886.18
Operations - Business Analyst/Projects - Associate,"JPMorgan Chase Bank, N.A.",Sydney NSW,"Locally, the IS business has a strong market position, ranking first in total assets under custody.
Owning a roadmap for key initiatives and ensure timely…",107886.18
"SSGA Investment Operations, Senior Associate",State Street,Sydney NSW,"Participate as required to any new business implementation projects.
Extensive liaison with the business in order to facilitate operational.",107886.18
Business Intelligence Analyst,Runge,Brisbane QLD,"Translate business requirements into reporting and analysis specifications.
You will be responsible for operational reporting, performance reporting, marketing…",107886.18
Power BI Developer,Lion Pty Ltd,Sydney Olympic Park NSW,"It’s a workplace where relationships matter, driving collaboration across our business.
The key purpose of this role is to deliver best practice principles and…",107886.18
Business Intelligence Analyst,CPA Australia,Melbourne VIC,"Understand business context to produce clean and digestible data visualisation;
12 month maternity leave cover - Provide business stakeholders relevant data…",107886.18
Junior Technical Project Manager,Plutus Commerce Australia Pty Ltd,Lavender Bay NSW,"Excellent English communication skills and mature emotional intelligence.
Available and willing to travel on business if required.
Temporarily due to COVID-19.", 95000
AML Intelligence Manager,Westpac Group,Parramatta NSW,"Demonstrated experience in creating intelligence reports identifying intelligence observations and the root cause(s).
What’s in it for me?",107886.18
Business Intelligence / Reports Developer,Charter Bridge Consulting,Adelaide SA,"A strong preference will be given to candidates who have specific experience in Informatica and Oracle Business Intelligence Applications (OBIEE, OBIA), as well…",107886.18
Head of Strategy and Market Intelligence,Microsoft,Sydney NSW,"Insights and Analysis: Defines, measures, and optimizes business impact by understanding and applying data-driven intelligence to create change.",107886.18
Business Analyst,Kogan.com,South Melbourne VIC,"Identify innovative solutions and opportunities for improvement in different areas of the business.
Ability to quickly establish a deep understanding of any…",107886.18
"Account Specialist, Hunter New England, NSW",Cardinal Health,Australia,"Provide information on non-contracted opportunities, competitor activities and market intelligence.
Seek new business by planning meetings with key personnel…",107886.18
SOC Analyst,BAE Systems Applied Intelligence,Melbourne VIC,"As well as our traditional deep expertise in communications intelligence for governments and telecommunications companies, we help our customers collect, store,…",107886.18
Solution Architect - 18 months contract,Reserve Bank of Australia,Sydney NSW,"Experience designing data models for business intelligence solutions.
Advanced knowledge of solution architecture & design for business intelligence solutions.",107886.18
Data Analyst,PKF Australia,Sydney NSW,"To work with like-minded people that are passionate about data analytics and business intelligence.
The team supports our clients with revolutionary initiatives…",107886.18
Government Engineering Lead (PV Cleared),Microsoft,Australia,Demonstrated history of working in the defense and/or intelligence space in Australia at the business decision maker level.,107886.18
Operations - Business Analyst/Projects - Associate,"JPMorgan Chase Bank, N.A.",Sydney NSW,"Locally, the IS business has a strong market position, ranking first in total assets under custody.
Owning a roadmap for key initiatives and ensure timely…",107886.18
"SSGA Investment Operations, Senior Associate",State Street,Sydney NSW,"Participate as required to any new business implementation projects.
Extensive liaison with the business in order to facilitate operational.",107886.18
Business Intelligence Analyst,Runge,Brisbane QLD,"Translate business requirements into reporting and analysis specifications.
You will be responsible for operational reporting, performance reporting, marketing…",107886.18
Power BI Developer,Lion Pty Ltd,Sydney Olympic Park NSW,"It’s a workplace where relationships matter, driving collaboration across our business.
The key purpose of this role is to deliver best practice principles and…",107886.18
Business Intelligence Analyst,CPA Australia,Melbourne VIC,"Understand business context to produce clean and digestible data visualisation;
12 month maternity leave cover - Provide business stakeholders relevant data…",107886.18
Junior Technical Project Manager,Plutus Commerce Australia Pty Ltd,Lavender Bay NSW,"Excellent English communication skills and mature emotional intelligence.
Available and willing to travel on business if required.
Temporarily due to COVID-19.", 95000
AML Intelligence Manager,Westpac Group,Parramatta NSW,"Demonstrated experience in creating intelligence reports identifying intelligence observations and the root cause(s).
What’s in it for me?",107886.18
Business Intelligence / Reports Developer,Charter Bridge Consulting,Adelaide SA,"A strong preference will be given to candidates who have specific experience in Informatica and Oracle Business Intelligence Applications (OBIEE, OBIA), as well…",107886.18
Head of Strategy and Market Intelligence,Microsoft,Sydney NSW,"Insights and Analysis: Defines, measures, and optimizes business impact by understanding and applying data-driven intelligence to create change.",107886.18
Business Analyst,Kogan.com,South Melbourne VIC,"Identify innovative solutions and opportunities for improvement in different areas of the business.
Ability to quickly establish a deep understanding of any…",107886.18
BI Consultant,Pandora Jewelry,Belrose NSW,"Priority focus area for the business locally and globally.
Ensure credibility by providing timely and accurate analyses of business performance.",107886.18
Technical Business Analyst,KPMG,Canberra ACT,"Experience working within complex business environments across a range of industries and sectors.
You will utilize your design, analytical and problem solving…",107886.18
Senior Business Intelligence (BI) Developer,FutureYou,Ryde NSW,"Broad enterprise wide understanding of business processes, such as:
Maintain and providing BAU support to the business on the current platform.",107886.18
Campaign Reporting Analyst,RACV,Melbourne City Centre VIC,"Leverage insights and data analytics to guide business intelligence.
Engage and drive conversations with key stakeholders to bring deep insight to enable better…",107886.18
"People & Culture Business Partner, EY Port Jackson Partners",EY,Sydney NSW,"There is no business-as-usual here!
Commercial acumen and a clear understanding of how HR can add value to the business.
Skills and attributes for success.",107886.18
Junior Insights Analyst,Oneflare,Sydney NSW,"Join us today and be part of a Deloitte Fast 50 business.
You will also be fascinated by the opportunity and capabilities represented by the cognitive service…",107886.18
BI & Data Lead,Freedom Furniture,Australia,Develop distributed BI competencies and capabilities across the business including principles of business driven / self-service BI.,107886.18
Business Technology Consultant,Third Horizon Consulting Pty Ltd,Sydney NSW,"Business intelligence and knowledge management.
Highly developed analytical skills with a passion for solving complex business problems.",107886.18
Service Manager,Cummins Inc.,Sydney NSW,"This role operates within core business hours, Monday – Friday.
Emotional intelligence and having a balanced view of customer and staff perspectives.",107886.18
Strategic Partnerships Manager,TikTok,Sydney NSW,We are looking for an experienced business developer to build on existing high level relationships and forge high impact new partnerships.,107886.18
Manager,Deloitte,Canberra ACT,You will also assist with practice and business development activities including ServiceNow solution development and proposal development.,107886.18
Agile Project Manager,Efiniti Telecommunications Services,Macquarie Park NSW,"Efiniti is an Australian owned and based company that specialises in these fields across three business sectors — Carrier & ICT, Corporate & Government,…",107886.18
Senior Investigator,Australian Financial Security Authority (AFSA),Sydney NSW,"Propose and facilitate innovation initiatives and contribute to business improvement.
Be able to discern and assess incoming information from reliable…", 94601
Database Engineer,Moody's Corporation,Sydney NSW,"Applying analytical skills to interpret business functions, understand functional requirements, and research and resolve system problems.",107886.18
GM Finance,Seeing Machines,Melbourne VIC,"A high level of business acumen and an ability to understand and interpret business strategy.
Our Finance team collaborates with all business units, supporting…",107886.18
Technical Business Analyst,KPMG,Canberra ACT,"Experience working within complex business environments across a range of industries and sectors.
You will utilize your design, analytical and problem solving…",107886.18
Senior Business Intelligence (BI) Developer,FutureYou,Ryde NSW,"Broad enterprise wide understanding of business processes, such as:
Maintain and providing BAU support to the business on the current platform.",107886.18
Campaign Reporting Analyst,RACV,Melbourne City Centre VIC,"Leverage insights and data analytics to guide business intelligence.
Engage and drive conversations with key stakeholders to bring deep insight to enable better…",107886.18
"People & Culture Business Partner, EY Port Jackson Partners",EY,Sydney NSW,"There is no business-as-usual here!
Commercial acumen and a clear understanding of how HR can add value to the business.
Skills and attributes for success.",107886.18
Junior Insights Analyst,Oneflare,Sydney NSW,"Join us today and be part of a Deloitte Fast 50 business.
You will also be fascinated by the opportunity and capabilities represented by the cognitive service…",107886.18
BI & Data Lead,Freedom Furniture,Australia,Develop distributed BI competencies and capabilities across the business including principles of business driven / self-service BI.,107886.18
Business Technology Consultant,Third Horizon Consulting Pty Ltd,Sydney NSW,"Business intelligence and knowledge management.
Highly developed analytical skills with a passion for solving complex business problems.",107886.18
Service Manager,Cummins Inc.,Sydney NSW,"This role operates within core business hours, Monday – Friday.
Emotional intelligence and having a balanced view of customer and staff perspectives.",107886.18
Strategic Partnerships Manager,TikTok,Sydney NSW,We are looking for an experienced business developer to build on existing high level relationships and forge high impact new partnerships.,107886.18
Manager,Deloitte,Canberra ACT,You will also assist with practice and business development activities including ServiceNow solution development and proposal development.,107886.18
Agile Project Manager,Efiniti Telecommunications Services,Macquarie Park NSW,"Efiniti is an Australian owned and based company that specialises in these fields across three business sectors — Carrier & ICT, Corporate & Government,…",107886.18
Senior Investigator,Australian Financial Security Authority (AFSA),Sydney NSW,"Propose and facilitate innovation initiatives and contribute to business improvement.
Be able to discern and assess incoming information from reliable…", 94601
Database Engineer,Moody's Corporation,Sydney NSW,"Applying analytical skills to interpret business functions, understand functional requirements, and research and resolve system problems.",107886.18
GM Finance,Seeing Machines,Melbourne VIC,"A high level of business acumen and an ability to understand and interpret business strategy.
Our Finance team collaborates with all business units, supporting…",107886.18
Analyst,Deloitte,Melbourne VIC,"Experience in business intelligence and visualisation tools such as Tableau, Microsoft Power BI, etc.
Exceptional communication, presentation, business writing…",107886.18
Intelligence Analyst,Sibylline Americas Inc.,Australia,"Production of insightful and actionable intelligence products.
Strong, demonstrable interest in security and intelligence.
Excellent written and spoken English.",107886.18
Head of Strategy and Market Intelligence,Microsoft,Sydney NSW,"Insights and Analysis: Defines, measures, and optimizes business impact by understanding and applying data-driven intelligence to create change.",107886.18
Business Analyst,Kogan.com,South Melbourne VIC,"Identify innovative solutions and opportunities for improvement in different areas of the business.
Ability to quickly establish a deep understanding of any…",107886.18
BI Consultant,Pandora Jewelry,Belrose NSW,"Priority focus area for the business locally and globally.
Ensure credibility by providing timely and accurate analyses of business performance.",107886.18
Technical Business Analyst,KPMG,Canberra ACT,"Experience working within complex business environments across a range of industries and sectors.
You will utilize your design, analytical and problem solving…",107886.18
Senior Business Intelligence (BI) Developer,FutureYou,Ryde NSW,"Broad enterprise wide understanding of business processes, such as:
Maintain and providing BAU support to the business on the current platform.",107886.18
Campaign Reporting Analyst,RACV,Melbourne City Centre VIC,"Leverage insights and data analytics to guide business intelligence.
Engage and drive conversations with key stakeholders to bring deep insight to enable better…",107886.18
"People & Culture Business Partner, EY Port Jackson Partners",EY,Sydney NSW,"There is no business-as-usual here!
Commercial acumen and a clear understanding of how HR can add value to the business.
Skills and attributes for success.",107886.18
Junior Insights Analyst,Oneflare,Sydney NSW,"Join us today and be part of a Deloitte Fast 50 business.
You will also be fascinated by the opportunity and capabilities represented by the cognitive service…",107886.18
BI & Data Lead,Freedom Furniture,Australia,Develop distributed BI competencies and capabilities across the business including principles of business driven / self-service BI.,107886.18
Business Technology Consultant,Third Horizon Consulting Pty Ltd,Sydney NSW,"Business intelligence and knowledge management.
Highly developed analytical skills with a passion for solving complex business problems.",107886.18
Business Intelligence Analyst,Macquarie Group,Australia,"Three or more years hands on experience in data analysis, business intelligence, management reporting or similar roles.
To be successful in this role, you will:",107886.18
Marketing Specialist,Quarter Acre,Australia,"What sets us apart from the rest is data driven techniques using market intelligence and mathematical modelling.
The successful candidate must have:", 89000
ASIO Psychologist (AEE1),ASIO,Australia,Build and sustain relationships with internal and external stakeholders to facilitate effective communication and progress business outcomes; and., 129172
Systems Analyst,Artificial Intelligence Australia Pty Ltd,Australia,"You must have a high level of technical expertise and clear insights into current business practices.
Transmit the business and functional knowledge to the…", 95000
Application Support Engineer,Easy Payroll Global,Australia,They turn a business’s ideas into a tailored business solution by developing complementary software that transforms the user experience of key stakeholders., 130000
Analyst,Deloitte,Melbourne VIC,"Experience in business intelligence and visualisation tools such as Tableau, Microsoft Power BI, etc.
Exceptional communication, presentation, business writing…",107886.18
Concrete Plant Manager,Hanson,McDougalls Hill NSW,"Engage with customers to generate new business to achieve business and sales goals.
Conduct regular market analysis and gather market intelligence within your…",107886.18
"BI & Data Business Analyst - (Power BI, SQL)",Anson McCade,Sydney NSW,"Working with Data Engineering Team.
My client, a leading data centric organisation is seeking a highly motivated and experienced BI and Data focused Business…",107886.18
Technical Recruiter,ION,Sydney NSW,"Our business strategy, design and technology consultancy was founded in 2002 with a deep pool of business and technology talent and a global reach.",107886.18
APAC Business Development Director (Water),Royal HaskoningDHV,Sydney NSW,"A strong track record in the Water sector, with experience in the business to business environment and sharp business acumen.",107886.18
Simulation Technician- Expression of Interest,Thales Group,Sydney NSW,"Thales is a business where brilliant people from all over the world come together to share ideas and inspire each other.
Great journeys start here, apply now!",107886.18
IT Graduate,Allianz,Sydney NSW,"Gain exposure to a wide variety of business functions within our IT Division.
Professional development opportunities to continue to build your business and…",107886.18
Director - Program Evaluation,Kantar TNS,Sydney NSW,"Our business is growing, and Program Evaluation is a key area for expansion for us.
We go beyond the obvious, using intelligence, passion and creativity to…",107886.18
SDR for Australia & Oceania Region,OSIsoft,Sydney NSW,"OSIsoft is a global leader in operational intelligence.
The PI System™ enables users to manage assets, mitigate risks, comply with regulations, improve…",107886.18
Data Analyst,SA Health,Adelaide SA,"Metropolitan South Australia: Adelaide CBD.
SA Health: Administration and Clerical.
Central Adelaide Local Health Network, Roma Mitchell House, Adelaide.",107886.18
Mechatronics Engineer,Freshwater Group,Sydney NSW,"Freshwater Group is a renewable energy recruitment business that focuses on all renewable and low carbon emission, energy efficiency and disruptive clean…",107886.18
Senior Manager,Deloitte,Canberra ACT,You will also assist with practice and business development activities including ServiceNow solution development and proposal development.,107886.18
Customer Success Manager,Partnerize,Sydney NSW,"Min. 3 years experience in online/SaaS business/industry.
Able to use initiative and creativity to propose solutions that work for the business.",107886.18
"Business Analyst (Perth, Darwin, Hobart and Melbourne)",Tata Consultancy Services (TCS),Melbourne VIC,"Knowledge of business intelligence/analytics software for reporting and analysis leveraging SAS, Tableau, SPSS, SQL or R.
TCS is an equal opportunity employer.", 120000
"EL2 Manager, National Police Checking Service (NPCS), Canberra",Australian Criminal Intelligence Commission (ACIC),Canberra ACT,"The Australian Criminal Intelligence Commission (ACIC) is Australia’s national criminal intelligence agency.
Job Type: Ongoing, Full-time.", 143176
"EL2 Manager, National Police Checking Service (NPCS), Canberra",Australian Criminal Intelligence Commission (ACIC),Canberra ACT,"The Australian Criminal Intelligence Commission (ACIC) is Australia’s national criminal intelligence agency.
Job Type: Ongoing, Full-time.", 143176
Security Intelligence Senior Consultant,Westpac Group,Sydney NSW,"The team provides tactical, operational and strategic threat intelligence to support our business.
Demonstrated experience in an intelligence and/or cyber…",107886.18
Business Intelligence Analyst,The Create Partnership,Sydney NSW,"Candidates must demonstrate keen curiosity, have strong experience working with databases and business intelligence software, and be capable storytellers using…",107886.18
Global Director of Talent Acquisition,Canva,Sydney NSW,"Provide market/industry/competitive intelligence and candidate insights to influence and shape talent and workforce decisions.
What we're looking for:",107886.18
