title,company,location,summary,salary,salary_class
Environmental Scientist/ Engineer,GHD,Perth WA,Supporting the delivery of quality field investigations data management risk assessments and reporting As a member of a busy Environmental Services group in ,115015.56,0
Shopee SG - Data Engineer - Processing & Analysis,TechSkills Accelerator,Australia,Translate data requirements into scalable technical data service with low latency and high concurrency Design build and maintain the batch or real time data ,115015.56,0
"Senior Data Scientist, Customer Analytics",Atlassian,Sydney NSW,A strong intuition for crafting raw data and analysis into well written and persuasive content Expertise in SQL and proficiency in another data programming ,115015.56,0
Data Scientist,Fortune Select,Newcastle NSW,Minimum 10 years exp in data scientist role and 5 years in telco exp Candidate should have big data analytics exp working on AW Azure cloud for data analysis ,115015.56,0
Data Scientist | Data and Analytics,EY,Canberra ACT,We go beyond strategy and provide end to end implementation of real life data environments and have some of the best architects project managers business ,115015.56,0
Instrument Scientist - Polarised Neutron Reflectometry,ANSTO,Lucas Heights NSW,Reduce and correct user data and provide advice or further data processing and interpretation Reporting to the Reflectometry Group Manager you will have ,115015.56,0
2020 Undergraduate Transport Planner - Sydney,AECOM,Sydney NSW,Whether you are an engineer planner scientist project manager or designer we are looking for people who share our purpose and are passionate about improving ,115015.56,0
Data Scientist,Discovery Parks,Adelaide SA,Identify and develop the capability to track detailed competitor data and leverage existing internal data to inform smart customer lead decision making ,115015.56,0
CarTrack SG - Data Scientist/Engineer (NLP and Chatbot),TechSkills Accelerator,Australia,Constructing solution concepts from insights using familiar or unfamiliar data sources or complete or partial data Data Scientist Engineer NLP and Chatbot ,115015.56,0
Cartrack SG - Data Scientist (Maintenance),TechSkills Accelerator,Australia,Develop differentiated capabilities in spatial and temporal data management e g Location Intelligence Mobile data analytics spatial data cleaning ,115015.56,0
Jewel Paymentech SG - Lead Data Scientist,TechSkills Accelerator,Australia,Track record in leading data science projects and delivering from end to end Proficient in big data computing skills scikit learn in Python Pandas Hadoop ,115015.56,0
Principal Statistical Analyst,Department of Education,Sydney NSW,CESE is Australia s first dedicated hub of education data and evaluation Collect essential education data and provide a one stop shop for information needs ,115015.56,0
"Data Analyst – Economic Analysis Department, RBA",Reserve Bank of Australia,Sydney NSW,On top of that you will update data in the various data repositories databases and spreadsheets in a timely and accurate manner ,115015.56,0
"Analyst, Data Management & Quantitative Analysis",BNY Mellon,Sydney NSW,The Corporate Trust Analytics Specialist will be primarily responsible for understanding via transaction documents and then running and or maintaining ,115015.56,0
Data Scientist ,Robonomics AI,Sydney NSW,We are looking for a candidate with good command over R Python and in depth knowledge and experience in Machine Learning deep learning methods algorithm ,115015.56,0
Environmental Scientist/ Engineer,GHD,Perth WA,Supporting the delivery of quality field investigations data management risk assessments and reporting As a member of a busy Environmental Services group in ,115015.56,0
Shopee SG - Data Engineer - Processing & Analysis,TechSkills Accelerator,Australia,Translate data requirements into scalable technical data service with low latency and high concurrency Design build and maintain the batch or real time data ,115015.56,0
"Senior Data Scientist, Customer Analytics",Atlassian,Sydney NSW,A strong intuition for crafting raw data and analysis into well written and persuasive content Expertise in SQL and proficiency in another data programming ,115015.56,0
Data Scientist,Fortune Select,Newcastle NSW,Minimum 10 years exp in data scientist role and 5 years in telco exp Candidate should have big data analytics exp working on AW Azure cloud for data analysis ,115015.56,0
Data Scientist | Data and Analytics,EY,Canberra ACT,We go beyond strategy and provide end to end implementation of real life data environments and have some of the best architects project managers business ,115015.56,0
Instrument Scientist - Polarised Neutron Reflectometry,ANSTO,Lucas Heights NSW,Reduce and correct user data and provide advice or further data processing and interpretation Reporting to the Reflectometry Group Manager you will have ,115015.56,0
2020 Undergraduate Transport Planner - Sydney,AECOM,Sydney NSW,Whether you are an engineer planner scientist project manager or designer we are looking for people who share our purpose and are passionate about improving ,115015.56,0
Data Scientist,Discovery Parks,Adelaide SA,Identify and develop the capability to track detailed competitor data and leverage existing internal data to inform smart customer lead decision making ,115015.56,0
CarTrack SG - Data Scientist/Engineer (NLP and Chatbot),TechSkills Accelerator,Australia,Constructing solution concepts from insights using familiar or unfamiliar data sources or complete or partial data Data Scientist Engineer NLP and Chatbot ,115015.56,0
Cartrack SG - Data Scientist (Maintenance),TechSkills Accelerator,Australia,Develop differentiated capabilities in spatial and temporal data management e g Location Intelligence Mobile data analytics spatial data cleaning ,115015.56,0
Jewel Paymentech SG - Lead Data Scientist,TechSkills Accelerator,Australia,Track record in leading data science projects and delivering from end to end Proficient in big data computing skills scikit learn in Python Pandas Hadoop ,115015.56,0
Principal Statistical Analyst,Department of Education,Sydney NSW,CESE is Australia s first dedicated hub of education data and evaluation Collect essential education data and provide a one stop shop for information needs ,115015.56,0
Scientist,Australian Red Cross Lifeblood,Alexandria NSW,Manage the receipt input and tracking of clinical data Fixed term full time opportunity until August 2021 We also help to facilitate the donation of tissue ,115015.56,0
Data Engineer (NLP),Faethm,Sydney NSW,A broad understanding of the numerous technologies and methods used by data scientists and engineers to deliver production grade data science outcomes ,115015.56,0
Data Scientist,flybuys,Melbourne VIC,Analytical expertise contribute to the development evolution of the analytics and data science strategy Analytics professional with a proven track record ,115015.56,0
Data Scientist,The Network IT,Canberra ACT,Remote sensing principles and experience remotely sensed data Experienced in development and using Machine Learning models in a Big Large data environment ,115015.56,0
Senior Scientist,Science,Sydney NSW,Well developed knowledge and demonstrated experience in native vegetation ecology vegetation data and data management platforms ,115015.56,0
Lazada SG - Data Scientist,TechSkills Accelerator,Australia,Solid theoretical foundations and industry experiences in machine learning personalized search recommendation user seller behaviour modelling sales ,115015.56,0
Machine Learning Engineer,Accenture,Sydney NSW,Data Strategy background in data analytics or AI strategy in particular building operating model maturity assessments data governance or data assessments ,115015.56,0
Cartrack SG - Data Scientist (Computer Vision and Deep Learning),TechSkills Accelerator,Australia,Constructing solution concepts from insights using familiar or unfamiliar data sources or complete or partial data Get to know the role ,115015.56,0
Lucence SG - Bioinformatician / Data Scientist,TechSkills Accelerator,Australia,Developing novel algorithms and statistical models as required by the company Building production level bioinformatics pipelines using docker and AWS step ,115015.56,0
Junior Data Scientist,Correlate Resources,Sydney NSW,Managing manipulating and automating production of complex data sets in a true big data environment leveraging skills in Hadoop Spark Scala R Python and ,115015.56,0
Computational Biologist/Bioinformatician - Exceptional Responders Study,The Garvan Institute of Medical Research,Sydney NSW,Experience analysing cancer genomic data Experience working with next generation sequencing data Analysing multi omic data collected from exceptional ,115015.56,0
Senior Manager - Data Science,Capgemini Australia,Sydney NSW,You have 5 years experience in a data scientist type role working with multifunction teams You will have a proven record of growing client relationships ,115015.56,0
Cartrack SG - Data Scientist/Engineer (Routing),TechSkills Accelerator,Australia,Deep dive into big data to conduct advanced data science models to predict certain metrics such as ETA Constructing solution concepts from insights using ,115015.56,0
GAZ - APS5 - ACT- Immigration Integrity Systems Support Officer,Department of Home Affairs,Canberra ACT,The risk system teams are responsible for engaging and coordinating with visa program owners caseload managers and technical teams in Information and ,115015.56,0
Research Fellow (Data Analysis) (BRF),University of South Australia,South Australia,We are seeking an individual with strong programming skills in Java Python and data science technology stack along with an outstanding track record of quality ,118665.0,1
Principal Statistical Analyst,Department of Education,Sydney NSW,CESE is Australia s first dedicated hub of education data and evaluation Collect essential education data and provide a one stop shop for information needs ,115015.56,0
Scientist,Australian Red Cross Lifeblood,Alexandria NSW,Manage the receipt input and tracking of clinical data Fixed term full time opportunity until August 2021 We also help to facilitate the donation of tissue ,115015.56,0
Data Engineer (NLP),Faethm,Sydney NSW,A broad understanding of the numerous technologies and methods used by data scientists and engineers to deliver production grade data science outcomes ,115015.56,0
Data Scientist,flybuys,Melbourne VIC,Analytical expertise contribute to the development evolution of the analytics and data science strategy Analytics professional with a proven track record ,115015.56,0
Data Scientist,The Network IT,Canberra ACT,Remote sensing principles and experience remotely sensed data Experienced in development and using Machine Learning models in a Big Large data environment ,115015.56,0
Senior Scientist,Science,Sydney NSW,Well developed knowledge and demonstrated experience in native vegetation ecology vegetation data and data management platforms ,115015.56,0
Lazada SG - Data Scientist,TechSkills Accelerator,Australia,Solid theoretical foundations and industry experiences in machine learning personalized search recommendation user seller behaviour modelling sales ,115015.56,0
Machine Learning Engineer,Accenture,Sydney NSW,Data Strategy background in data analytics or AI strategy in particular building operating model maturity assessments data governance or data assessments ,115015.56,0
Cartrack SG - Data Scientist (Computer Vision and Deep Learning),TechSkills Accelerator,Australia,Constructing solution concepts from insights using familiar or unfamiliar data sources or complete or partial data Get to know the role ,115015.56,0
Lucence SG - Bioinformatician / Data Scientist,TechSkills Accelerator,Australia,Developing novel algorithms and statistical models as required by the company Building production level bioinformatics pipelines using docker and AWS step ,115015.56,0
Junior Data Scientist,Correlate Resources,Sydney NSW,Managing manipulating and automating production of complex data sets in a true big data environment leveraging skills in Hadoop Spark Scala R Python and ,115015.56,0
Computational Biologist/Bioinformatician - Exceptional Responders Study,The Garvan Institute of Medical Research,Sydney NSW,Experience analysing cancer genomic data Experience working with next generation sequencing data Analysing multi omic data collected from exceptional ,115015.56,0
Senior Manager - Data Science,Capgemini Australia,Sydney NSW,You have 5 years experience in a data scientist type role working with multifunction teams You will have a proven record of growing client relationships ,115015.56,0
Cartrack SG - Data Scientist/Engineer (Routing),TechSkills Accelerator,Australia,Deep dive into big data to conduct advanced data science models to predict certain metrics such as ETA Constructing solution concepts from insights using ,115015.56,0
GAZ - APS5 - ACT- Immigration Integrity Systems Support Officer,Department of Home Affairs,Canberra ACT,The risk system teams are responsible for engaging and coordinating with visa program owners caseload managers and technical teams in Information and ,115015.56,0
Cartrack SG - Data Scientist/Engineer (Routing),TechSkills Accelerator,Australia,Deep dive into big data to conduct advanced data science models to predict certain metrics such as ETA Constructing solution concepts from insights using ,115015.56,0
GAZ - APS5 - ACT- Immigration Integrity Systems Support Officer,Department of Home Affairs,Canberra ACT,The risk system teams are responsible for engaging and coordinating with visa program owners caseload managers and technical teams in Information and ,115015.56,0
Research Fellow (Data Analysis) (BRF),University of South Australia,South Australia,We are seeking an individual with strong programming skills in Java Python and data science technology stack along with an outstanding track record of quality ,118665.0,1
Azendian - Data Scientist,TechSkills Accelerator,Australia,Consolidation and preparation of data as well as verifying the quality of data Be able to develop SQL queries and working with data models ,115015.56,0
Envision Digital SG - Data Scientist,TechSkills Accelerator,Australia,Perform data exploration in depth and design implement novel algorithms to address data analytical challenges Experience with SQL NoSQL databases ,115015.56,0
Data Scientist,Talenza,Sydney NSW,Talenza has been engaged by one of our ASX Top 50 clients in their search for a talented Data Scientist to join a collaborative and high achieving A ,115015.56,0
PHD ASSOCIATE (ECONOMIC CONSULTING) – SYDNEY,Chi Square Economics,Sydney NSW,A top tier consultancy with offices across Europe is searching for a technical economist or data scientist to join its growing economics advisory and disputes ,115015.56,0
Data Scientist,TabCorp Holdings,Sydney NSW,A proven track record of delivering data science solutions into production that have delivered significant business financial value ,115015.56,0
Director - Program Evaluation,Kantar TNS,Sydney NSW,Kantar is the world s leading data insights and consulting company With offices in six states and a team which includes behavioural scientists specialised ,115015.56,0
Data Scientist,Equifax,Melbourne VIC,Collaborate and learn from some of the best data minds in Australia who are passionate about all things data and analytics What s in it for you ,115015.56,0
RESEARCH DIETITIAN,University of Melbourne,Australia,Analytical and conceptual skills to analyse and interpret scientific data They will also be involved in all aspects of the study including diet analysis data ,99964.0,0
Data Scientist - Machine Learning/ Computer Vision / NLP,Oracle,Melbourne VIC,If you are looking for an exciting new opportunity as a data scientist to help solve difficult problems be creative create success for customers and engage ,115015.56,0
IMDA - Data Scientist,TechSkills Accelerator,Australia,At least 2 years of experience in quantitative data analytic or machine learning model development for cybersecurity or network infrastructure use cases using ,115015.56,0
"IBM Research/Data Scientist - Health AI, Image Analytics",IBM,Melbourne VIC,Extensive knowledge and at least two years hands on experience of computer vision machine learning and deep learning for analysing multimodal data in ,115015.56,0
Environmental Scientist /Engineer- Contaminated Sites,GHD,Perth WA,Delivering high quality field investigations data management and technical reporting in a high performing team environment What you will bring to the team ,115015.56,0
GAZ - APS5 - ACT- Immigration Integrity Systems Support Officer,Department of Home Affairs,Canberra ACT,The risk system teams are responsible for engaging and coordinating with visa program owners caseload managers and technical teams in Information and ,115015.56,0
Research Fellow (Data Analysis) (BRF),University of South Australia,South Australia,We are seeking an individual with strong programming skills in Java Python and data science technology stack along with an outstanding track record of quality ,118665.0,1
Azendian - Data Scientist,TechSkills Accelerator,Australia,Consolidation and preparation of data as well as verifying the quality of data Be able to develop SQL queries and working with data models ,115015.56,0
Envision Digital SG - Data Scientist,TechSkills Accelerator,Australia,Perform data exploration in depth and design implement novel algorithms to address data analytical challenges Experience with SQL NoSQL databases ,115015.56,0
Data Scientist,Talenza,Sydney NSW,Talenza has been engaged by one of our ASX Top 50 clients in their search for a talented Data Scientist to join a collaborative and high achieving A ,115015.56,0
PHD ASSOCIATE (ECONOMIC CONSULTING) – SYDNEY,Chi Square Economics,Sydney NSW,A top tier consultancy with offices across Europe is searching for a technical economist or data scientist to join its growing economics advisory and disputes ,115015.56,0
Data Scientist,TabCorp Holdings,Sydney NSW,A proven track record of delivering data science solutions into production that have delivered significant business financial value ,115015.56,0
Director - Program Evaluation,Kantar TNS,Sydney NSW,Kantar is the world s leading data insights and consulting company With offices in six states and a team which includes behavioural scientists specialised ,115015.56,0
Data Scientist,Equifax,Melbourne VIC,Collaborate and learn from some of the best data minds in Australia who are passionate about all things data and analytics What s in it for you ,115015.56,0
RESEARCH DIETITIAN,University of Melbourne,Australia,Analytical and conceptual skills to analyse and interpret scientific data They will also be involved in all aspects of the study including diet analysis data ,99964.0,0
Data Scientist - Machine Learning/ Computer Vision / NLP,Oracle,Melbourne VIC,If you are looking for an exciting new opportunity as a data scientist to help solve difficult problems be creative create success for customers and engage ,115015.56,0
IMDA - Data Scientist,TechSkills Accelerator,Australia,At least 2 years of experience in quantitative data analytic or machine learning model development for cybersecurity or network infrastructure use cases using ,115015.56,0
"IBM Research/Data Scientist - Health AI, Image Analytics",IBM,Melbourne VIC,Extensive knowledge and at least two years hands on experience of computer vision machine learning and deep learning for analysing multimodal data in ,115015.56,0
Environmental Scientist /Engineer- Contaminated Sites,GHD,Perth WA,Delivering high quality field investigations data management and technical reporting in a high performing team environment What you will bring to the team ,115015.56,0
Data Scientist,Firesoft People,Sydney NSW,Proven commercial experience in statistical and machine learning modelling with experience manipulating big data from disparate systems ,200000.0,1
Environmental Scientist,Department of Primary Industry and Resources,Darwin NT,Evaluate reports and data relating to mining activities applying specialist knowledge in water chemistry waste rock Territory Mining Management Act 2001 ,115015.56,0
Data Scientist,Murdoch Childrens Research Institute,Parkville VIC,Our research is increasingly data rich with the volume variety and velocity of data being generated requiring structured data governance and sophisticated ,102000.0,0
Data Engineer,AbbVie,Sydney NSW,In this role you will be working primarily with data scientists and analysts across functional disciplines Strong understanding of distributed data processing ,115015.56,0
Amaris.AI SG - Senior Data Scientist (Natural Language Processing),TechSkills Accelerator,Australia,Experience working with text related databases datasets big data data mining or exacttransfer load of streaming data ,115015.56,0
"Global Investment Research,Equity Research,Consumer Sector, Analyst, Sydney",Goldman Sachs,Sydney NSW,Conducting statistical analysis of economic data fundamentals and relevant correlations of the data Analyzing market share macro trend and cross company ,115015.56,0
Cartrack - Data Scientist/Engineer (Driver Behaviour),TechSkills Accelerator,Australia,Develop differentiated capabilities in spatial and temporal data management e g Location Intelligence Mobile data analytics spatial data cleaning ,115015.56,0
Amaris.AI SG - Senior Data Scientist (Image Processing),TechSkills Accelerator,Australia,Your primary focus is to oversee activities of junior data scientists build products or deliver projects using cutting edge technology ,115015.56,0
Computational Biologist: Cancer Genomics–The Kinghorn Centre for Clinical Genomics,The Garvan Institute of Medical Research,Sydney NSW,Expertise in working with somatic data Expertise in working with next generation sequencing data Analysing structural variation in childhood cancer using long ,115015.56,0
Consulting - Deloitte Actuarial,Deloitte,Sydney NSW,We are a team of talented actuaries and data scientists who love to use our unique blend of technical and commercial expertise What will you get to do ,115015.56,0
Market Research Analyst,Laureate Education,Sydney Central Business District NSW,Prepare and present data based recommendations to improve sales performance Confidence in working collaboratively and presenting complex data to varied ,115015.56,0
Data Scientist - Geoscience,AngloGold Ashanti,Perth WA,Literacy in data management principles and quality control systems MSc or PhD degree in a relevant field with machine learning and data mining OR minimum of 4 ,115015.56,0
Senior Data Scientist,IT Alliance Australia,Canberra ACT,Knowledge of remote sensing principles and experience in working with remotely sensed data and image processing software including workflow development and ,115015.56,0
Senior Data Analyst/Scientist,International Institute of Data & Analytics,Sydney NSW,Lead and mentor junior data analysts scientists in a closely collaborative data science project team In data science and big data analytics the IDA creates ,115015.56,0
2020 Undergraduate Geotechnical Engineer / Geologist – Sydney,AECOM,Sydney NSW, An aptitude for accurate data entry and to learn to use specialist data presentation software Assisting with data manipulation and presentation ,115015.56,0
Data Scientist,Finite IT,Adelaide SA,Strong background in data science analytics or data engineering 3 plus years of experience in data analytics Solid communication skills written and verbal ,130000.0,1
Environmental Scientist,Department of Primary Industry and Resources,Darwin NT,Evaluate reports and data relating to mining activities applying specialist knowledge in water chemistry waste rock Territory Mining Management Act 2001 ,115015.56,0
Data Scientist,Murdoch Childrens Research Institute,Parkville VIC,Our research is increasingly data rich with the volume variety and velocity of data being generated requiring structured data governance and sophisticated ,102000.0,0
Data Engineer,AbbVie,Sydney NSW,In this role you will be working primarily with data scientists and analysts across functional disciplines Strong understanding of distributed data processing ,115015.56,0
Amaris.AI SG - Senior Data Scientist (Natural Language Processing),TechSkills Accelerator,Australia,Experience working with text related databases datasets big data data mining or exacttransfer load of streaming data ,115015.56,0
"Global Investment Research,Equity Research,Consumer Sector, Analyst, Sydney",Goldman Sachs,Sydney NSW,Conducting statistical analysis of economic data fundamentals and relevant correlations of the data Analyzing market share macro trend and cross company ,115015.56,0
Cartrack - Data Scientist/Engineer (Driver Behaviour),TechSkills Accelerator,Australia,Develop differentiated capabilities in spatial and temporal data management e g Location Intelligence Mobile data analytics spatial data cleaning ,115015.56,0
Amaris.AI SG - Senior Data Scientist (Image Processing),TechSkills Accelerator,Australia,Your primary focus is to oversee activities of junior data scientists build products or deliver projects using cutting edge technology ,115015.56,0
Computational Biologist: Cancer Genomics–The Kinghorn Centre for Clinical Genomics,The Garvan Institute of Medical Research,Sydney NSW,Expertise in working with somatic data Expertise in working with next generation sequencing data Analysing structural variation in childhood cancer using long ,115015.56,0
Consulting - Deloitte Actuarial,Deloitte,Sydney NSW,We are a team of talented actuaries and data scientists who love to use our unique blend of technical and commercial expertise What will you get to do ,115015.56,0
Market Research Analyst,Laureate Education,Sydney Central Business District NSW,Prepare and present data based recommendations to improve sales performance Confidence in working collaboratively and presenting complex data to varied ,115015.56,0
Data Scientist - Geoscience,AngloGold Ashanti,Perth WA,Literacy in data management principles and quality control systems MSc or PhD degree in a relevant field with machine learning and data mining OR minimum of 4 ,115015.56,0
Senior Data Scientist,IT Alliance Australia,Canberra ACT,Knowledge of remote sensing principles and experience in working with remotely sensed data and image processing software including workflow development and ,115015.56,0
Senior Data Analyst/Scientist,International Institute of Data & Analytics,Sydney NSW,Lead and mentor junior data analysts scientists in a closely collaborative data science project team In data science and big data analytics the IDA creates ,115015.56,0
2020 Undergraduate Geotechnical Engineer / Geologist – Sydney,AECOM,Sydney NSW, An aptitude for accurate data entry and to learn to use specialist data presentation software Assisting with data manipulation and presentation ,115015.56,0
Data Scientist,Finite IT,Adelaide SA,Strong background in data science analytics or data engineering 3 plus years of experience in data analytics Solid communication skills written and verbal ,130000.0,1
Data Scientist,Finite IT,Adelaide SA,Strong background in data science analytics or data engineering 3 plus years of experience in data analytics Solid communication skills written and verbal ,130000.0,1
Bioinformatics Research Officer,The Garvan Institute of Medical Research,Sydney NSW,The project is also generating substantial cohort data and bioinformatics skills are required in various projects to analyse these data ,115015.56,0
Data Engineer,KPMG,Canberra ACT,Build resilient tested data pipelines with statistical data quality monitoring embedded DataOps Recommend ways to improve data reliability efficiency and ,115015.56,0
Computational Biologist – The Kinghorn Centre for Clinical Genomics,The Garvan Institute of Medical Research,Sydney NSW,Expertise in working with next generation sequencing data This position will drive the development and validation of approaches for interpreting multi omic ,115015.56,0
Data Visualisation Specialist | Data and Analytics,EY,Canberra ACT,Exposure to data data environments databases large data sets Prepare concise data reports and data visualizations for stakeholders that will help in ,115015.56,0
Data Scientist- National Operations Finance,Woolworths Supermarkets,Bella Vista NSW,Key to your success in this role is your proven experience in data science data analytics and data exploration a real advocate and champion across all data ,115015.56,0
Investment Trader,Clemenger Group,Sydney NSW,We re fortunate to have some excellent data scientists working with us helping to build the latest and greatest in models We use the Google Tech Stack ,115015.56,0
Rail Operations Analysis and Modeling Specialist - 2 to 7 years - Melbourne or Sydney,WSP Australia,Sydney NSW,Ability to handle numbers statistics mass data Innovative mindset to translate complex technical data into relevant graphical outputs ,115015.56,0
Data Scientist (M4),FinXL,Melbourne VIC,Degree in data science business intelligence data analytics or similar discipline Experience using statistical computer languages R Python SQL etc to ,115015.56,0
"Data Scientist - Data Analytics, Predictive Elasticity Data Scientist Consultant",Infinity Pro,Parramatta NSW,Detailed recent local hands on experience as a senior data scientist delivering insight within large organizations in complex data environment ,115015.56,0
Risk Analyst,Broad Construction,Sydney NSW,From internal and external data sources ingest store prepare train model and visualise pertinent Pre Contracts and Project Delivery data in order to ,115015.56,0
Data Scientist,Bluefin Resources,Sydney NSW,Build a deep understanding of the relevant data systems landscape optimise the data extraction processes 12 month Fixed Term Contract ,115015.56,0
Expression of Interest - Computational Biologists/ Statistical Geneticists,The Garvan Institute of Medical Research,Sydney NSW,Direct experience in performing quality control and analysis of genomic data sets or other complex data types ,115015.56,0
Senior Data Scientist,Preacta Recruitment,Sydney NSW,My client is a tech driven financial business working towards expanding their data capability by investing heavily to ensure they use their data in the best ,140000.0,1
Data Scientist / Data Engineer (AI Machine Learning),Anson McCade,Sydney NSW,As such they are looking for talented data scientist with strong data engineering experience to drive this They are kicking off some major projects developing ,115015.56,0
Principal Environmental Scientist,AECOM,Australia,Strong background in impact assessment and environmental approvals including data gap analysis technical studies document preparation and regulator ,115015.56,0
Medical Data Scientist,Optimum Patient Care,Australia,Contribute to data analyses as required for research projects Undertake quality checks to assure high standards of data and code ,115015.56,0
Data Scientist,Equifax,Melbourne VIC,Collaborate and learn from some of the best data minds in Australia who are passionate about all things data and analytics What s in it for you ,115015.56,0
RESEARCH DIETITIAN,University of Melbourne,Australia,Analytical and conceptual skills to analyse and interpret scientific data They will also be involved in all aspects of the study including diet analysis data ,99964.0,0
Data Scientist - Machine Learning/ Computer Vision / NLP,Oracle,Melbourne VIC,If you are looking for an exciting new opportunity as a data scientist to help solve difficult problems be creative create success for customers and engage ,115015.56,0
IMDA - Data Scientist,TechSkills Accelerator,Australia,At least 2 years of experience in quantitative data analytic or machine learning model development for cybersecurity or network infrastructure use cases using ,115015.56,0
"IBM Research/Data Scientist - Health AI, Image Analytics",IBM,Melbourne VIC,Extensive knowledge and at least two years hands on experience of computer vision machine learning and deep learning for analysing multimodal data in ,115015.56,0
Environmental Scientist /Engineer- Contaminated Sites,GHD,Perth WA,Delivering high quality field investigations data management and technical reporting in a high performing team environment What you will bring to the team ,115015.56,0
Data Scientist,Firesoft People,Sydney NSW,Proven commercial experience in statistical and machine learning modelling with experience manipulating big data from disparate systems ,200000.0,1
Environmental Scientist,Department of Primary Industry and Resources,Darwin NT,Evaluate reports and data relating to mining activities applying specialist knowledge in water chemistry waste rock Territory Mining Management Act 2001 ,115015.56,0
Data Scientist,Murdoch Childrens Research Institute,Parkville VIC,Our research is increasingly data rich with the volume variety and velocity of data being generated requiring structured data governance and sophisticated ,102000.0,0
Sports Statistician (Data Collection),Genius Sports,Australia,Genius Sports Statisticians are responsible for attending Football events in Wagga Wagga Australia and reporting all the action directly from the venue using ,100000.0,0
Data Scientist,Macquarie Group,Australia,Mentoring junior data scientists including reviewing code and analysis approaches Sourcing and identifying relevant data sources cleaning and preparing data ,115015.56,0
Medical Data Scientist,Optimum Patient Care,Australia,Contribute to data analyses as required for research projects Undertake quality checks to assure high standards of data and code ,115015.56,0
Data Engineer,AbbVie,Sydney NSW,In this role you will be working primarily with data scientists and analysts across functional disciplines Strong understanding of distributed data processing ,115015.56,0
Amaris.AI SG - Senior Data Scientist (Natural Language Processing),TechSkills Accelerator,Australia,Experience working with text related databases datasets big data data mining or exacttransfer load of streaming data ,115015.56,0
"Global Investment Research,Equity Research,Consumer Sector, Analyst, Sydney",Goldman Sachs,Sydney NSW,Conducting statistical analysis of economic data fundamentals and relevant correlations of the data Analyzing market share macro trend and cross company ,115015.56,0
Cartrack - Data Scientist/Engineer (Driver Behaviour),TechSkills Accelerator,Australia,Develop differentiated capabilities in spatial and temporal data management e g Location Intelligence Mobile data analytics spatial data cleaning ,115015.56,0
Amaris.AI SG - Senior Data Scientist (Image Processing),TechSkills Accelerator,Australia,Your primary focus is to oversee activities of junior data scientists build products or deliver projects using cutting edge technology ,115015.56,0
