title,company,location,summary,salary
Risk Analyst,Broad Construction,Sydney NSW,"From internal and external data sources, ingest, store, prepare, train, model and visualise pertinent Pre-Contracts and Project Delivery data in order to…",115926.1
Data Modeller | Data and Analytics,EY,Canberra ACT,"We go beyond strategy, and provide end to end implementation of real-life data environments and have some of the best architects, project managers, business…",115926.1
Risk Analyst,Broad Construction,Sydney NSW,"From internal and external data sources, ingest, store, prepare, train, model and visualise pertinent Pre-Contracts and Project Delivery data in order to…",115926.1
Software Engineer,Feedzai,Sydney NSW,"Founded and developed by data scientists and aerospace engineers, Feedzai has one mission: to make banking and commerce safe.
Come and change the world with us.",115926.1
Data Engineer,ION,Sydney NSW,"The successful candidate will have the ability to use programmatic tools and techniques to quickly understand different data sources, transform and combine them…",115926.1
Suncorp 2021 Vacation Program (Technology / HR),Suncorp Group,Australia,Suncorp’s Vacation Program is a twelve-week accelerated development program designed to give you insight into future career paths and open the door to the…,115926.1
Bohemia Sydney - Investment Manager/Director,Bohemia,Sydney NSW,"Manage the data analyst, by supporting them and clearing the path for effective weekly reporting via PRISM, provide quality control and triage of work flow.",115926.1
Senior Sleep Scientist,ACT Government,Canberra ACT,"Proficiency in Polysomnography data analysis as per the American Academy of Sleep Medicine (AASM), Australasian Sleep Association (ASA) and Australian New…", 99687
Laboratory Manager,NSW Health Pathology,Sydney NSW,"Advanced knowledge and operating competency with Laboratory Information Systems, Microsoft Office applications and Quality Management Systems and proven data…", 132511
CodingTeacher for Primary & High School Students,Technology Academy Australia & CodingPro Education...,Parramatta NSW,"In this role, you will have the opportunity to run the coding classes by way of presenting coding and robotics education materials to different groups of…",115926.1
"Cloud Architect, Data & Analytics",EY,Perth WA,"We go beyond strategy and provide end to end implementation of real-life data environments and have some of the best architects, project managers, business…",115926.1
Junior Data Scientist,Adaps,Melbourne VIC,"The Client’sTeam are releasing 5 data sets at a time.
1-2 Years of Data Experience.
Have an “understanding” of NoSQL.
Have an “understanding” of NoSQL.",115926.1
Lead Data Engineer,Prospa,Darlinghurst NSW,"In addition, our data pipelines, data lake, and data warehouse.
Extensive knowledge in building enterprise data warehousing and data lakes.",115926.1
"Manager, Data and Analytics",EY,Sydney NSW,"Experience building data profiling and data cleansing frameworks.
At least 5 years’ experience as a data engineer within the data and analytics domain.",115926.1
Data Engineer,Arkose Labs,Brisbane QLD,"Manage and optimize data pipelines.
Familiarity with data science concepts.
Experience working with big data pipelines and databasing.",115926.1
Research Scientist in Health Intelligence,CSIRO,Brisbane QLD,"Previous experience working in the health domain, especially with clinical data.
Utilise various analytic and statistical methodologies to evaluate, and…", 106000
Data Modeller | Data and Analytics,EY,Canberra ACT,"We go beyond strategy, and provide end to end implementation of real-life data environments and have some of the best architects, project managers, business…",115926.1
Risk Analyst,Broad Construction,Sydney NSW,"From internal and external data sources, ingest, store, prepare, train, model and visualise pertinent Pre-Contracts and Project Delivery data in order to…",115926.1
Software Engineer,Feedzai,Sydney NSW,"Founded and developed by data scientists and aerospace engineers, Feedzai has one mission: to make banking and commerce safe.
Come and change the world with us.",115926.1
Data Engineer,ION,Sydney NSW,"The successful candidate will have the ability to use programmatic tools and techniques to quickly understand different data sources, transform and combine them…",115926.1
Suncorp 2021 Vacation Program (Technology / HR),Suncorp Group,Australia,Suncorp’s Vacation Program is a twelve-week accelerated development program designed to give you insight into future career paths and open the door to the…,115926.1
Bohemia Sydney - Investment Manager/Director,Bohemia,Sydney NSW,"Manage the data analyst, by supporting them and clearing the path for effective weekly reporting via PRISM, provide quality control and triage of work flow.",115926.1
Senior Sleep Scientist,ACT Government,Canberra ACT,"Proficiency in Polysomnography data analysis as per the American Academy of Sleep Medicine (AASM), Australasian Sleep Association (ASA) and Australian New…", 99687
Laboratory Manager,NSW Health Pathology,Sydney NSW,"Advanced knowledge and operating competency with Laboratory Information Systems, Microsoft Office applications and Quality Management Systems and proven data…", 132511
CodingTeacher for Primary & High School Students,Technology Academy Australia & CodingPro Education...,Parramatta NSW,"In this role, you will have the opportunity to run the coding classes by way of presenting coding and robotics education materials to different groups of…",115926.1
"Cloud Architect, Data & Analytics",EY,Perth WA,"We go beyond strategy and provide end to end implementation of real-life data environments and have some of the best architects, project managers, business…",115926.1
Junior Data Scientist,Adaps,Melbourne VIC,"The Client’sTeam are releasing 5 data sets at a time.
1-2 Years of Data Experience.
Have an “understanding” of NoSQL.
Have an “understanding” of NoSQL.",115926.1
Lead Data Engineer,Prospa,Darlinghurst NSW,"In addition, our data pipelines, data lake, and data warehouse.
Extensive knowledge in building enterprise data warehousing and data lakes.",115926.1
"Manager, Data and Analytics",EY,Sydney NSW,"Experience building data profiling and data cleansing frameworks.
At least 5 years’ experience as a data engineer within the data and analytics domain.",115926.1
Data Engineer,Arkose Labs,Brisbane QLD,"Manage and optimize data pipelines.
Familiarity with data science concepts.
Experience working with big data pipelines and databasing.",115926.1
Research Scientist in Health Intelligence,CSIRO,Brisbane QLD,"Previous experience working in the health domain, especially with clinical data.
Utilise various analytic and statistical methodologies to evaluate, and…", 106000
Data Scientist,Macquarie Group,Australia,"Mentoring junior data scientists including reviewing code and analysis approaches.
Sourcing and identifying relevant data sources, cleaning and preparing data.",115926.1
Medical Scientist,Optimum Patient Care,Australia,To contribute to new and existing projects with respect to considering practical medical issues and clinical application; and to understand EMR data and coding…,115926.1
MSL Haematology (North),Bristol Myers Squibb,Australia,"Knowledge of HEOR data and the ability to communicate value data.
Effectively listening, communicating and presenting scientific and/or clinical data to…",115926.1
Botanist,Australian Department of the Environment,Darwin NT,"Analyses of field data for scientific reporting.
Demonstrated ability to analyse data, prepare scientific reports and effectively communicate project work.", 93670
Data Scientist,Finite IT,Adelaide SA,"Strong background in data science, analytics or data engineering.
3 plus years of experience in data analytics.
Solid communication skills – written and verbal.", 130000
Investment Trader,Clemenger Group,Sydney NSW,"We're fortunate to have some excellent data scientists working with us helping to build the latest and greatest in models.
We use the Google Tech Stack.",115926.1
Research Scientist/Senior Research Scientist in Systems,CSIRO,Sydney NSW,"Join CSIRO’s Data61, the largest data innovation group in Australia.
CSIRO’s Data61 business unit is the largest data innovation group in Australia, bringing…", 106000
Market Research Analyst,JLL,Canberra ACT,"Tracking a range of property data that will cover office, retail and industrial sectors including vacancy, construction and sales and leasing,.",115926.1
Environmental Scientist /Engineer- Contaminated Sites,GHD,Perth WA,"Delivering high quality field investigations, data management and technical reporting in a high performing team environment.
What you will bring to the team.",115926.1
Bioinformatician – The Kinghorn Centre for Clinical Genomics,The Garvan Institute of Medical Research,Sydney NSW,"Experience working with next-generation sequencing data.
Seek out genomics datasets from across Garvan and establish a catalogue with clinical information as…",115926.1
Senior Data Scientist,TheDriveGroup,Sydney NSW,"You will be joining a passionate team of high-performance big data engineers, data scientists, product managers, and software engineers giving you the…",115926.1
Research Coordinator - Genomic Medicine,The Garvan Institute of Medical Research,Sydney NSW,"Collect clinical data and perform data entry.
Ensure data security is maintained to protect patient records, both physically and electronically.",115926.1
Staff Data Engineer,Culture Amp,Melbourne VIC,"Collaborate with data scientists to automate training and deployment of machine learning models.
Design and implement a secure data access architecture,…",115926.1
"Manager, Analytics & Data Science, SMB Credit Risk",Zip,Australia,"Over time, managing and mentoring other analysts/data scientists, with a focus to grow the SME risk analytics capability at Zip.
What are we looking for?",115926.1
Research and Data Analyst,Chandler Macleod,Australia,"Qualifications, experience and skills in a data analytic role is essential, including a demonstrated ability to interrogate information management systems…",115926.1
Medical Data Scientist,Optimum Patient Care,Australia,"Contribute to data analyses as required for research projects.
Undertake quality checks to assure high standards of data and code.",115926.1
Casual Ecologist/Environmental Scientist,Anderson Environmental Pty Ltd,Australia,"A minimum of 3 years practical experience undertaking field-based surveys, data analysis and reporting, preferably in a consulting capacity.",115926.1
Senior Data Analytics Engineer,Deputy,Sydney NSW,Create data tools for analytics and data scientist team members that assist them in building and optimising our product into an innovative industry leader.,115926.1
"SENIOR SCIENTIST - MOLECULAR DIAGNOSTICS, DEVELOPMENT AND INFORMATICS",University of Melbourne,Parkville VIC,"We are looking for a highly skilled, focused and enthusiastic laboratory scientist who is ready to use their well-developed molecular biology, communication,…", 101684
Senior Data Scientist,Michael Page,Brisbane QLD,"Develop custom data models and algorithms to apply to data sets.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.",115926.1
Data Engineer | Data and Analytics,EY,Canberra ACT,"Previous experience working with data, data environments, databases, large data sets possibly in a consulting environment.
Skills and attributes for success.",115926.1
Machine Learning Engineer,The University of Adelaide,Adelaide SA,"3+ years’ experience in a data science programming language (i.e. python, R) and toolchain (i.e. PyTorch, Tensorflow, Scikit learn, CARET).", 122855
Data Visualisation Specialist | Data and Analytics,EY,Canberra ACT,"Exposure to data / data environments / databases / large data sets.
Prepare concise data reports and data visualizations for stakeholders that will help in…",115926.1
Senior Quantitative Analyst,Suncorp Group,Sydney Inner Suburbs NSW,"Define and specify key data requirements to support modelling approaches.
Analyse and constructively critique output across the wider Banking Credit function…",115926.1
Machine Learning Engineer,See-Mode Technologies,Melbourne VIC,"We have an interdisciplinary team of scientists and engineers and are advised by experienced clinicians in Australia and Singapore.
Bonus Points if you have: *.", 110000
Data Engineer,GetCapital,Sydney NSW,"Scientists, building and owning our data architecture and assisting in the growth of the data analytics.
GetCapital? The role includes converting unstructured…",115926.1
Full stack software engineer,Ailo,Sydney NSW,"You're a data-driven problem solver who really enjoys working with large data-sets, data structures, algorithms and object-oriented design.",115926.1
Ecology Consultants (3 roles),Niche Environment and Heritage,Parramatta NSW,"Our 50+strong team includes ecologists, botanists, archaeologists and environmental scientists.
Practical experience of 4 to 8+ years undertaking field-based…",115926.1
Data Scientist,Pro Search Partners Pty Ltd,Melbourne VIC,"Presenting data as a story.
Promoting data science products company-wide.
Information sponge, you live data and relationships.
What your day could consist of:",115926.1
Data Engineer,Komatsu,Australia,"Our team is composed of data scientists who create algorithms, software developers / data engineers that support the execution of the analytics suite, and…",115926.1
Data Scientist,Onset,Sydney NSW,"So many job ads talk about ""accountability"" however here its all about ""opportunity"".
As the project architect, creator and strategist you'll run the engagement…",115926.1
Research Fellow - Computer Vision & Machine Learning,University Of Western Australia,Crawley WA,"You will support an industry funded project involving the development of advanced computer vision and deep learning algorithms for the automatic detection,…",115926.1
Research Associate – Machine Learning and Deep Learning for Medical Images,University of New South Wales,Australia,"Through access to nationally and internationally linked radiotherapy distributed datasets, these tools will be used to enable a novel approach to learning from…", 103112
Environmental Engineer/Scientist,Ever Better Recruitment (EBR),Sydney NSW,"Managing, analyzing and interpreting data.
Possess strong analytical, reporting, and data presentation skills.
Assessment and remediation of risk.",115926.1
Research Scientist - Health AI Postdoc Researcher – Melbourne,IBM,Melbourne VIC,"Must have: developing, testing, and deploying systems for analysing medical data such as for example EEG, ECG, text, speech or imaging data, or for other real…",115926.1
"Addressable Executive, Programmatic/Social",Clemenger Group,Sydney NSW,We're fortunate to have some excellent data scientists working with us helping to build the latest and greatest in models.,115926.1
"Associate Director, Balance Sheet & Statistical Reporting",Macquarie Group Limited,Sydney NSW,"You will have regular engagement and consultation with the data team, business units, legal, risk management and the senior leadership team on reporting and…",115926.1
Data Scientist,Ever Better Recruitment (EBR),Australia,"3+ years of working experience in data science.
Core contributor of an open source machine learning or data science project.",115926.1
Research Scientist - Computational Biology,"Department of Jobs, Precincts and Regions",Melbourne VIC,"Knowledge and experience in genomic, phenomic, and phenotypic data analysis.
Ability to handle large datasets using Linux computer platforms, plus ability to…", 96759
Senior Scientist (Brain Tumor Group),Children's Cancer Institute,Sydney NSW,"Establish collaboration with other scientists and keep abreast with latest research techniques.
Conduct statistical analysis of data sets and record…",115926.1
Environmental Planner / Scientist,ALRA,Sydney NSW,"You’ll provide end-to-end project management from consultation, assessment, and client liaison to team coordination (contractor management, invoicing, drafting,…", 160000
Quality Assurance Engineer,Feedzai,Sydney NSW,"Founded and developed by data scientists and aerospace engineers, Feedzai has one mission: to make banking and commerce safe.
Perform Code Reviews of Peers.",115926.1
"Data Architect, Technical Lead, Data and Analytics",EY,Sydney NSW,"We go beyond strategy and provide end to end implementation of real-life data environments and have some of the best architects, project managers, business…",115926.1
"Cloud & Data Solutions Architect, Data & Analytics - Brisbane",EY,Brisbane QLD,"We go beyond strategy and provide end to end implementation of real-life data environments and have some of the best architects, project managers, business…",115926.1
Software Engineer - Analytics,finder,Sydney NSW,"Maintain Finder's data collection pipeline - analytics trackers and data models.
Previous experience working in data projects.",115926.1
Research Assistant/Senior Research Assistant,The Garvan Institute of Medical Research,Sydney NSW,"Our vision of the centre is to translate medical research into clinical care in Australia and beyond by integrating sequencing, bioinformatics and data…",115926.1
Solution Architect | Data and Analytics,EY,Canberra ACT,"We go beyond strategy, and provide end to end implementation of real-life data environments and have some of the best architects, project managers, business…",115926.1
